ID,香烟品类,香烟地域,香烟品牌,名称,品牌:,类型:,焦油:,焦油高低:,烟碱:,一氧化碳:,长度:,过滤嘴长:,周长:,包装形式:,主颜色:,副颜色:,条装盒数:,每盒数量:,小盒价格:,条装价格:,小盒条码:,条装条码:
89,传统烟,大陆,芙蓉,芙蓉(佳品),芙蓉,烤烟型,12mg,,1.1mg,14mg,84mm,20mg,24mm,纸质硬盒,红,金,,20,￥3元,￥30元,6901028194273,6901028194280
90,传统烟,大陆,芙蓉,芙蓉(黄后),芙蓉,烤烟型,13mg,,1.3mg,14mg,84mm,20mg,24mm,纸质硬盒,土黄,黄,,20,￥4.5元,￥45元,6901028199445,6901028199452
91,传统烟,,,东方红(醇香),,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
92,传统烟,,,东方红,,烤烟型,14mg,,1.0mg,,,,,,,,,,,,,
94,传统烟,大陆,娇子,娇子(软国宝)??团圆,娇子,烤烟型,10mg,,1.0mg,10mg,84mm,30mg,24mm,纸质软包,金黄,酱红,,20,￥17元,￥170元,6901028025898,6901028025881
95,传统烟,大陆,娇子,娇子(软阳光)??软阳光娇子,娇子,烤烟型,11mg,,1.1mg,11mg,84mm,29mm,24mm,纸质软包,蓝,金,,20,￥12元,￥120元,6901028084314,6901028025560
97,传统烟,大陆,娇子,娇子(红)??红娇,娇子,烤烟型,11mg,,1.1mg,11mg,84mm,24mm,24mm,纸质硬盒,白,红,,20,￥16元,￥160元,6901028024303,6901028024297
98,传统烟,大陆,娇子,娇子(蓝)??蓝娇,娇子,烤烟型,10mg,,1.0mg,10mg,84mm,24mm,24mm,纸质硬盒,白,蓝,10,20,￥1330,￥130元,6901028024143,6901028024136
99,传统烟,大陆,娇子,娇子(X)??X娇子,娇子,烤烟型,6mg,,0.6mg,7mg,94mm,30mg,23mm,纸质硬盒,白,金,10,20,￥11元,￥110元,6901028024969,6901028024976
100,传统烟,历史品牌,五牛,五牛(蓝天地),五牛,烤烟型,11mg,,1.0mg,,84mm,22mm,25mg,纸质硬盒,白,蓝,,20,￥6元,￥60元,6901028025201,
101,传统烟,历史品牌,五牛,五牛(红),五牛,烤烟型,15mg,,1.3mg,,84mm,22mm,24mm,纸质硬盒,红,黄,,20,￥5元,,6901028024938,
102,传统烟,历史品牌,五牛,五牛(硬金),五牛,烤烟型,13mg,,1.0mg,14mg,84mm,20mg,24mm,纸质硬盒,金,红,,20,￥2.5元,￥25元,6901028024020,
103,传统烟,历史品牌,五牛,五牛(硬绿新),五牛,烤烟型,10mg,,0.7mg,11mg,84mm,22mm,24mm,纸质硬盒,金,红,,20,￥3元,￥30元,6901028024372,
